대학,최종,수학,수과학,국영수과
E대학,불합격,5.80 ,5.79 ,5.26 
D대학,합격,5.80 ,5.79 ,5.26 
C대학,합격,4.20 ,4.41 ,3.95 
A대학,합격,4.20 ,4.41 ,3.95 
C대학,불합격,5.80 ,5.20 ,5.32 
D대학,합격,5.80 ,5.20 ,5.32 
C대학,불합격,4.20 ,5.21 ,5.07 
E대학,불합격,4.20 ,5.21 ,5.07 
D대학,불합격,4.20 ,5.21 ,5.07 
C대학,합격,5.20 ,4.24 ,4.03 
A대학,불합격,5.20 ,4.24 ,4.03 
E대학,합격,5.20 ,4.24 ,4.03 
B대학,불합격,5.20 ,4.24 ,4.03 
C대학,불합격,4.20 ,3.95 ,4.19 
B대학,불합격,4.20 ,3.95 ,4.19 
A대학,불합격,4.20 ,3.95 ,4.19 
E대학,불합격,4.40 ,5.15 ,5.44 
D대학,합격,4.40 ,5.15 ,5.44 
E대학,합격,4.20 ,4.57 ,4.40 
D대학,합격,4.20 ,4.57 ,4.40 
B대학,불합격,4.20 ,4.57 ,4.40 
C대학,불합격,4.00 ,5.02 ,5.32 
E대학,합격,4.00 ,5.02 ,5.32 
D대학,불합격,4.00 ,5.02 ,5.32 
A대학,불합격,4.00 ,5.02 ,5.32 
D대학,불합격,6.40 ,7.08 ,6.73 
E대학,합격,5.00 ,5.01 ,5.06 
D대학,불합격,5.00 ,5.01 ,5.06 
C대학,불합격,5.40 ,6.18 ,5.92 
E대학,불합격,5.40 ,6.18 ,5.92 
D대학,불합격,5.40 ,6.18 ,5.92 
C대학,불합격,5.00 ,4.69 ,4.56 
E대학,합격,5.00 ,4.69 ,4.56 
D대학,불합격,5.00 ,4.69 ,4.56 
A대학,불합격,6.40 ,6.23 ,6.30 
E대학,불합격,6.40 ,6.23 ,6.30 
D대학,불합격,6.40 ,6.23 ,6.30 
E대학,불합격,7.00 ,6.38 ,5.86 
D대학,불합격,7.00 ,6.38 ,5.86 
C대학,불합격,4.40 ,4.16 ,4.36 
E대학,합격,4.40 ,4.16 ,4.36 
D대학,합격,4.40 ,4.16 ,4.36 
E대학,불합격,7.60 ,6.99 ,7.00 
D대학,불합격,7.60 ,6.99 ,7.00 
C대학,합격,3.80 ,4.11 ,3.68 
A대학,합격,3.80 ,4.11 ,3.68 
B대학,합격,3.80 ,4.11 ,3.68 
E대학,합격,5.00 ,4.92 ,4.63 
D대학,불합격,5.00 ,4.92 ,4.63 
E대학,불합격,5.60 ,5.62 ,5.86 
D대학,불합격,5.60 ,5.62 ,5.86 
C대학,합격,4.80 ,4.40 ,3.98 
A대학,불합격,4.80 ,4.40 ,3.98 
